id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
367683,FALSE,13/07/17 11:42,0,13/07/17 11:41,36582,13/07/17 11:33,Transitime,2,2,430,278214,2403,00:08:59,1,13/07/17,300,539
192565,FALSE,11/07/17 11:57,1,11/07/17 11:47,609521,11/07/17 11:18,Transitime,2,2,510,278260,1008,00:39:30,10,11/07/17,100,2370
374656,FALSE,,1,13/07/17 11:36,0,13/07/17 11:25,Transitime,2,2,480,278260,2906,12:34:57,0,30/12/99,Err:502,-3709106703
193936,FALSE,11/07/17 11:59,0,11/07/17 12:05,-406462,11/07/17 11:44,Transitime,2,2,466,278214,1508,00:14:40,-7,11/07/17,100,880
194367,TRUE,11/07/17 11:59,0,11/07/17 11:57,101497,11/07/17 11:44,Transitime,2,2,405,278213,1017,00:14:52,2,11/07/17,100,892
374658,FALSE,,1,13/07/17 11:38,0,13/07/17 11:29,Transitime,2,2,482,278260,2906,12:30:57,0,30/12/99,Err:502,-3709106943
374660,FALSE,,1,13/07/17 11:39,0,13/07/17 11:37,Transitime,2,2,487,278260,2906,12:22:19,0,30/12/99,Err:502,-3709107461
378593,FALSE,13/07/17 12:04,1,13/07/17 12:08,-226789,13/07/17 11:58,Transitime,2,2,521,278260,1518,00:05:47,-4,13/07/17,300,347
247987,FALSE,11/07/17 13:39,0,11/07/17 13:34,276479,11/07/17 13:19,Transitime,2,2,6936,278211,2603,00:19:10,5,11/07/17,100,1150
195213,TRUE,11/07/17 12:02,0,11/07/17 12:00,113816,11/07/17 11:35,Transitime,2,2,414,278213,1017,00:27:04,2,11/07/17,100,1624
195214,TRUE,11/07/17 12:00,0,11/07/17 11:58,136727,11/07/17 11:30,Transitime,2,2,409,278213,1017,00:29:47,2,11/07/17,100,1787
195215,TRUE,11/07/17 12:01,0,11/07/17 11:59,117985,11/07/17 11:39,Transitime,2,2,4480,278213,1017,00:21:04,2,11/07/17,100,1264
195216,TRUE,11/07/17 12:01,0,11/07/17 11:59,93574,11/07/17 11:44,Transitime,2,2,413,278213,1017,00:17:08,2,11/07/17,100,1028
