id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
377956,FALSE,13/07/17 12:00,0,13/07/17 11:56,257304,13/07/17 11:54,Transitime,2,2,461,278214,2403,00:06:44,4,13/07/17,300,404
377957,FALSE,13/07/17 12:02,0,13/07/17 11:55,384260,13/07/17 11:50,Transitime,2,2,463,278214,2403,00:12:09,6,13/07/17,300,729
377958,FALSE,13/07/17 12:03,0,13/07/17 11:54,495089,13/07/17 11:41,Transitime,2,2,6936,278214,2403,00:21:17,8,13/07/17,300,1277
378237,FALSE,13/07/17 12:04,0,13/07/17 11:55,511830,13/07/17 11:33,Transitime,2,2,466,278214,2403,00:31:18,9,13/07/17,300,1878
378259,FALSE,13/07/17 12:04,0,13/07/17 11:55,557120,13/07/17 11:37,Transitime,2,2,466,278214,2403,00:26:45,9,13/07/17,300,1605
378260,FALSE,13/07/17 12:04,0,13/07/17 11:56,481452,13/07/17 11:46,Transitime,2,2,466,278214,2403,00:18:27,8,13/07/17,300,1107
378261,FALSE,13/07/17 12:04,0,13/07/17 12:00,257584,13/07/17 11:54,Transitime,2,2,466,278214,2403,00:10:13,4,13/07/17,300,613
378418,FALSE,13/07/17 12:04,1,13/07/17 12:01,216872,13/07/17 11:37,Transitime,2,2,523,278260,1518,00:26:58,4,13/07/17,300,1618
378419,FALSE,13/07/17 12:04,1,13/07/17 12:07,-159334,13/07/17 11:54,Transitime,2,2,524,278260,1518,00:10:32,-3,13/07/17,300,632
378698,FALSE,13/07/17 12:05,0,13/07/17 11:57,488505,13/07/17 11:33,Transitime,2,2,469,278214,2403,00:32:32,8,13/07/17,300,1952
378699,FALSE,13/07/17 12:05,0,13/07/17 11:55,564068,13/07/17 11:37,Transitime,2,2,468,278214,2403,00:27:33,9,13/07/17,300,1653
378700,FALSE,13/07/17 12:05,0,13/07/17 11:56,511533,13/07/17 11:41,Transitime,2,2,468,278214,2403,00:23:24,9,13/07/17,300,1404
379077,TRUE,13/07/17 12:06,0,13/07/17 12:00,334376,13/07/17 11:37,Transitime,2,2,7620,278213,1522,00:28:36,6,13/07/17,300,1716
380021,TRUE,13/07/17 12:07,0,13/07/17 12:14,-457616,13/07/17 11:54,Transitime,2,2,418,278213,1522,00:12:58,-8,13/07/17,300,778
380033,FALSE,,1,13/07/17 11:52,0,13/07/17 11:33,Transitime,2,2,509,278260,2906,12:26:52,0,30/12/99,Err:502,-3709107188
380190,FALSE,13/07/17 12:08,0,13/07/17 12:04,221578,13/07/17 11:58,Transitime,2,2,420,278213,1522,00:09:35,4,13/07/17,300,575
