vehicleId,time,timeProcessed,latitude,longitude,speed,heading,assignmentId,assignmentType
18003,2018-05-30 16:12:58 GMT-04:00,2018-05-30 16:13:02 GMT-04:00,-23.5271,-70.4042,49,259,195_0_9,TRIP_ID
18003,2018-05-30 16:13:22 GMT-04:00,2018-05-30 16:14:55 GMT-04:00,-23.5274,-70.4056,17,223,195_0_9,TRIP_ID
18003,2018-05-30 16:13:25 GMT-04:00,2018-05-30 16:14:55 GMT-04:00,-23.5275,-70.4056,19,175,195_0_9,TRIP_ID
18003,2018-05-30 16:13:32 GMT-04:00,2018-05-30 16:15:00 GMT-04:00,-23.5278,-70.4056,19,126,195_0_9,TRIP_ID
18003,2018-05-30 16:13:35 GMT-04:00,2018-05-30 16:14:58 GMT-04:00,-23.5279,-70.4054,22,78,195_0_9,TRIP_ID
18003,2018-05-30 16:14:05 GMT-04:00,2018-05-30 16:14:59 GMT-04:00,-23.5275,-70.402,18,57,195_0_9,TRIP_ID
18003,2018-05-30 16:14:06 GMT-04:00,2018-05-30 16:14:59 GMT-04:00,-23.5275,-70.402,18,32,195_0_9,TRIP_ID
18003,2018-05-30 16:14:09 GMT-04:00,2018-05-30 16:15:01 GMT-04:00,-23.5274,-70.4019,22,359,195_0_9,TRIP_ID
18003,2018-05-30 16:14:15 GMT-04:00,2018-05-30 16:15:01 GMT-04:00,-23.5271,-70.4019,7,0,195_0_9,TRIP_ID
18003,2018-05-30 16:14:18 GMT-04:00,2018-05-30 16:15:03 GMT-04:00,-23.5271,-70.4019,14,57,195_0_9,TRIP_ID
18003,2018-05-30 16:14:20 GMT-04:00,2018-05-30 16:15:03 GMT-04:00,-23.527,-70.4018,17,90,195_0_9,TRIP_ID
18003,2018-05-30 16:14:41 GMT-04:00,2018-05-30 16:15:04 GMT-04:00,-23.5269,-70.4004,31,62,195_0_9,TRIP_ID
18003,2018-05-30 16:14:46 GMT-04:00,2018-05-30 16:15:09 GMT-04:00,-23.5268,-70.4,19,132,195_0_9,TRIP_ID
18003,2018-05-30 16:14:53 GMT-04:00,2018-05-30 16:15:10 GMT-04:00,-23.527,-70.3997,35,94,195_0_9,TRIP_ID
